role_id,Directorate,Department,Role
R0001,Corporate Affairs and Engagement,Corporate Affairs and Engagement,Communications and Engagement Manager
R0002,Corporate Affairs and Engagement,Corporate Affairs and Engagement,Communications Business Partner
R0003,Corporate Affairs and Engagement,Corporate Affairs and Engagement,Head of Corporate Affairs and Communication
R0004,Corporate Affairs and Engagement,Corporate Affairs and Engagement,Patient Experience Co-ordinator
R0005,Corporate Affairs and Engagement,Corporate Affairs and Engagement,Patient Experience Manager
R0006,Corporate Affairs and Engagement,Corporate Affairs and Engagement,Web and Intranet Analyst Developer
R0007,Executive,Directors,Director
R0008,Executive,Personal Assistants,Executive Personal Assistant
R0009,Finance and Logistics,Estates ,Deputy Head of Estates
R0010,Finance and Logistics,Estates ,Estates Administrator
R0011,Finance and Logistics,Estates ,Estates Helpdesk Manager
R0012,Finance and Logistics,Estates ,Estates Manager
R0013,Finance and Logistics,Estates ,Estates Officer
R0014,Finance and Logistics,Estates ,Head of Estates 
R0015,Finance and Logistics,Finance,Capital Accountant
R0016,Finance and Logistics,Finance,Claims Administrator
R0017,Finance and Logistics,Finance,Deputy Head of Procurement
R0018,Finance and Logistics,Finance,Head of Costing and Capital
R0019,Finance and Logistics,Finance,Head of Finance
R0020,Finance and Logistics,Finance,Procurement Admin Officer
R0021,Finance and Logistics,Finance,Procurement Assistant
R0022,Finance and Logistics,Finance,Procurement Officer
R0023,Finance and Logistics,Finance,Senior Finance Analyst
R0024,Finance and Logistics,Finance,Treasury Officer
R0025,Finance and Logistics,Fleet,Chargehand
R0026,Finance and Logistics,Fleet,Fleet Administrator
R0027,Finance and Logistics,Fleet,Fleet Administrator Higher Level
R0028,Finance and Logistics,Fleet,Fleet Manager
R0029,Finance and Logistics,Fleet,Fleet Senior Management
R0030,Finance and Logistics,Fleet,Fleet Supervisor
R0031,Finance and Logistics,Fleet,Fleet Systems Administrator/Manager
R0032,Finance and Logistics,Fleet,Fleet Systems and Administration Manager
R0033,Finance and Logistics,Fleet,Fleet Workshop Administrator
R0034,Finance and Logistics,Fleet,Handy Person
R0035,Finance and Logistics,Fleet,Planner
R0036,Finance and Logistics,Fleet,Senior Fleet Administrator
R0037,Finance and Logistics,Fleet,Stores Administrator
R0038,Finance and Logistics,Fleet,Technician
R0039,Finance and Logistics,Fleet,Workshop Planning Supervisor
R0040,Finance and Logistics,Information and Communication Technology,ICT Administrator
R0041,Finance and Logistics,Information and Communication Technology,ICT Manager
R0042,Finance and Logistics,Information and Communication Technology,ICT Senior Manager
R0043,Finance and Logistics,Information and Communication Technology,ICT Systems Development Officer
R0044,Finance and Logistics,Information and Communication Technology,ICT Systems Trainer
R0045,Finance and Logistics,Information and Communication Technology,ICT Technical staff
R0046,Finance and Logistics,Information and Communication Technology,Learning and Development Administrator
R0047,Finance and Logistics,Information and Communication Technology,Learning and Development Technologist
R0048,Finance and Logistics,Procurement,Deputy Head of Procurement
R0049,Finance and Logistics,Procurement,Head of Procurement
R0050,Finance and Logistics,Procurement,Materials Management Operative
R0051,Finance and Logistics,Procurement,Procurement Administrator
R0052,Finance and Logistics,Procurement,Procurement Officer
R0053,Finance and Logistics,Procurement,Procurement Specialist
R0054,National Operations,Ambulance Control Centre,Administrator
R0055,National Operations,Ambulance Control Centre,Business Support Manager
R0056,National Operations,Ambulance Control Centre,Call Handler
R0057,National Operations,Ambulance Control Centre,Call Handler Supervisor
R0058,National Operations,Ambulance Control Centre,Call Performance Manager
R0059,National Operations,Ambulance Control Centre,Complaint Resolution Manager
R0060,National Operations,Ambulance Control Centre,Complaint Resolution team
R0061,National Operations,Ambulance Control Centre,Critical Care Clinicians
R0062,National Operations,Ambulance Control Centre,Data Administrator
R0063,National Operations,Ambulance Control Centre,Dispatch Supervisor
R0064,National Operations,Ambulance Control Centre,Dispatcher
R0065,National Operations,Ambulance Control Centre,Dual Supervisor
R0066,National Operations,Ambulance Control Centre,Duty Manager
R0067,National Operations,Ambulance Control Centre,Head of Ambulance Control Services
R0068,National Operations,Ambulance Control Centre,Head of Operational Delivery
R0069,National Operations,Ambulance Control Centre,Head of Performance Planning and Information
R0070,National Operations,Ambulance Control Centre,Head of Scheduled Care
R0071,National Operations,Ambulance Control Centre,Learning and Development Manager
R0072,National Operations,Ambulance Control Centre,MPDS Auditor
R0073,National Operations,Ambulance Control Centre,National Dispatch Manager
R0074,National Operations,Ambulance Control Centre,Performance Supervisor
R0075,National Operations,Ambulance Control Centre,Practice Developer
R0076,National Operations,Ambulance Control Centre,Real Time Analyst
R0077,National Operations,Ambulance Control Centre,Scheduled Care Auditor
R0078,National Operations,Ambulance Control Centre,Scheduled Care Coordinator
R0079,National Operations,Ambulance Control Centre,Scheduled Care Manager
R0080,National Operations,Ambulance Control Centre,Scheduled Care Supervisor
R0081,National Operations,Ambulance Control Centre,Specialist Services Desk Call Handler
R0082,National Operations,Ambulance Control Centre,Specialist Services Desk Dispatcher
R0083,National Operations,Ambulance Control Centre,Specialist Services Desk Supervisor
R0084,National Operations,Ambulance Control Centre,System Support Manager
R0085,National Operations,Ambulance Control Centre,Workforce Planner
R0086,National Operations,Ambulance Control Centre,Workforce Planning Supervisor
R0087,National Operations,Ambulance Services,Advanced Practitioner
R0088,National Operations,Ambulance Services,Ambulance Care Assistant
R0089,National Operations,Ambulance Services,Ambulance Technician
R0090,National Operations,Ambulance Services,Area Service Manager
R0091,National Operations,Ambulance Services,Clinical Effectiveness Lead
R0092,National Operations,Ambulance Services,Head of Service
R0093,National Operations,Ambulance Services,Paramedic
R0094,National Operations,Integrated Clinical Hub,Clinical Development Manager
R0095,National Operations,Integrated Clinical Hub,Clinical Quality Lead
R0096,National Operations,Integrated Clinical Hub,GP
R0097,National Operations,Integrated Clinical Hub,ICH Clinician
R0098,National Operations,Integrated Clinical Hub,ICH Manager
R0099,National Operations,National Risk and Resilience,Assistant Strategic Operations Manager
